N:    10 missed percentage: 8.900 func no: 3, a: 0, b: 1.000000e-02
N:   100 missed percentage: 5.150 func no: 3, a: 0, b: 1.000000e-02
N:  1000 missed percentage: 5.200 func no: 3, a: 0, b: 1.000000e-02
N: 10000 missed percentage: 5.550 func no: 3, a: 0, b: 1.000000e-02
N:    10 missed percentage: 10.100 func no: 3, a: 0, b: 2.000000e-02
N:   100 missed percentage: 6.000 func no: 3, a: 0, b: 2.000000e-02
N:  1000 missed percentage: 5.300 func no: 3, a: 0, b: 2.000000e-02
N: 10000 missed percentage: 5.600 func no: 3, a: 0, b: 2.000000e-02
N:    10 missed percentage: 9.350 func no: 3, a: 0, b: 3.000000e-02
N:   100 missed percentage: 5.550 func no: 3, a: 0, b: 3.000000e-02
N:  1000 missed percentage: 4.750 func no: 3, a: 0, b: 3.000000e-02
N: 10000 missed percentage: 5.450 func no: 3, a: 0, b: 3.000000e-02
N:    10 missed percentage: 9.350 func no: 3, a: 0, b: 4.000000e-02
N:   100 missed percentage: 5.400 func no: 3, a: 0, b: 4.000000e-02
N:  1000 missed percentage: 5.000 func no: 3, a: 0, b: 4.000000e-02
N: 10000 missed percentage: 4.700 func no: 3, a: 0, b: 4.000000e-02
N:    10 missed percentage: 10.950 func no: 3, a: 0, b: 5.000000e-02
N:   100 missed percentage: 4.750 func no: 3, a: 0, b: 5.000000e-02
N:  1000 missed percentage: 4.350 func no: 3, a: 0, b: 5.000000e-02
N: 10000 missed percentage: 4.950 func no: 3, a: 0, b: 5.000000e-02
N:    10 missed percentage: 9.250 func no: 3, a: 0, b: 6.000000e-02
N:   100 missed percentage: 4.750 func no: 3, a: 0, b: 6.000000e-02
N:  1000 missed percentage: 5.250 func no: 3, a: 0, b: 6.000000e-02
N: 10000 missed percentage: 4.650 func no: 3, a: 0, b: 6.000000e-02
N:    10 missed percentage: 10.350 func no: 3, a: 0, b: 7.000000e-02
N:   100 missed percentage: 6.150 func no: 3, a: 0, b: 7.000000e-02
N:  1000 missed percentage: 4.700 func no: 3, a: 0, b: 7.000000e-02
N: 10000 missed percentage: 5.650 func no: 3, a: 0, b: 7.000000e-02
N:    10 missed percentage: 9.450 func no: 3, a: 0, b: 8.000000e-02
N:   100 missed percentage: 5.100 func no: 3, a: 0, b: 8.000000e-02
N:  1000 missed percentage: 4.900 func no: 3, a: 0, b: 8.000000e-02
N: 10000 missed percentage: 4.650 func no: 3, a: 0, b: 8.000000e-02
N:    10 missed percentage: 9.200 func no: 3, a: 0, b: 9.000000e-02
N:   100 missed percentage: 6.450 func no: 3, a: 0, b: 9.000000e-02
N:  1000 missed percentage: 5.150 func no: 3, a: 0, b: 9.000000e-02
N: 10000 missed percentage: 5.200 func no: 3, a: 0, b: 9.000000e-02
N:    10 missed percentage: 9.300 func no: 3, a: 0, b: 1.000000e-01
N:   100 missed percentage: 5.000 func no: 3, a: 0, b: 1.000000e-01
N:  1000 missed percentage: 4.950 func no: 3, a: 0, b: 1.000000e-01
N: 10000 missed percentage: 5.400 func no: 3, a: 0, b: 1.000000e-01
N:    10 missed percentage: 9.750 func no: 3, a: 0, b: 1.100000e-01
N:   100 missed percentage: 4.900 func no: 3, a: 0, b: 1.100000e-01
N:  1000 missed percentage: 5.100 func no: 3, a: 0, b: 1.100000e-01
N: 10000 missed percentage: 4.600 func no: 3, a: 0, b: 1.100000e-01
N:    10 missed percentage: 10.450 func no: 3, a: 0, b: 1.200000e-01
N:   100 missed percentage: 5.350 func no: 3, a: 0, b: 1.200000e-01
N:  1000 missed percentage: 5.100 func no: 3, a: 0, b: 1.200000e-01
N: 10000 missed percentage: 5.300 func no: 3, a: 0, b: 1.200000e-01
N:    10 missed percentage: 10.000 func no: 3, a: 0, b: 1.300000e-01
N:   100 missed percentage: 5.300 func no: 3, a: 0, b: 1.300000e-01
N:  1000 missed percentage: 5.150 func no: 3, a: 0, b: 1.300000e-01
N: 10000 missed percentage: 5.000 func no: 3, a: 0, b: 1.300000e-01
N:    10 missed percentage: 11.050 func no: 3, a: 0, b: 1.400000e-01
N:   100 missed percentage: 5.850 func no: 3, a: 0, b: 1.400000e-01
N:  1000 missed percentage: 5.700 func no: 3, a: 0, b: 1.400000e-01
N: 10000 missed percentage: 6.000 func no: 3, a: 0, b: 1.400000e-01
N:    10 missed percentage: 10.100 func no: 3, a: 0, b: 1.500000e-01
N:   100 missed percentage: 6.050 func no: 3, a: 0, b: 1.500000e-01
N:  1000 missed percentage: 5.700 func no: 3, a: 0, b: 1.500000e-01
N: 10000 missed percentage: 5.300 func no: 3, a: 0, b: 1.500000e-01
N:    10 missed percentage: 9.700 func no: 3, a: 0, b: 1.600000e-01
N:   100 missed percentage: 5.500 func no: 3, a: 0, b: 1.600000e-01
N:  1000 missed percentage: 5.250 func no: 3, a: 0, b: 1.600000e-01
N: 10000 missed percentage: 5.000 func no: 3, a: 0, b: 1.600000e-01
N:    10 missed percentage: 8.850 func no: 3, a: 0, b: 1.700000e-01
N:   100 missed percentage: 6.300 func no: 3, a: 0, b: 1.700000e-01
N:  1000 missed percentage: 5.550 func no: 3, a: 0, b: 1.700000e-01
N: 10000 missed percentage: 5.450 func no: 3, a: 0, b: 1.700000e-01
N:    10 missed percentage: 9.300 func no: 3, a: 0, b: 1.800000e-01
N:   100 missed percentage: 5.400 func no: 3, a: 0, b: 1.800000e-01
N:  1000 missed percentage: 5.850 func no: 3, a: 0, b: 1.800000e-01
N: 10000 missed percentage: 5.150 func no: 3, a: 0, b: 1.800000e-01
N:    10 missed percentage: 9.300 func no: 3, a: 0, b: 1.900000e-01
N:   100 missed percentage: 4.550 func no: 3, a: 0, b: 1.900000e-01
N:  1000 missed percentage: 5.400 func no: 3, a: 0, b: 1.900000e-01
N: 10000 missed percentage: 4.750 func no: 3, a: 0, b: 1.900000e-01
N:    10 missed percentage: 10.650 func no: 3, a: 0, b: 2.000000e-01
N:   100 missed percentage: 4.450 func no: 3, a: 0, b: 2.000000e-01
N:  1000 missed percentage: 5.350 func no: 3, a: 0, b: 2.000000e-01
N: 10000 missed percentage: 4.700 func no: 3, a: 0, b: 2.000000e-01
N:    10 missed percentage: 8.850 func no: 3, a: 0, b: 2.100000e-01
N:   100 missed percentage: 4.850 func no: 3, a: 0, b: 2.100000e-01
N:  1000 missed percentage: 5.650 func no: 3, a: 0, b: 2.100000e-01
N: 10000 missed percentage: 4.900 func no: 3, a: 0, b: 2.100000e-01
N:    10 missed percentage: 10.200 func no: 3, a: 0, b: 2.200000e-01
N:   100 missed percentage: 5.400 func no: 3, a: 0, b: 2.200000e-01
N:  1000 missed percentage: 5.250 func no: 3, a: 0, b: 2.200000e-01
N: 10000 missed percentage: 3.950 func no: 3, a: 0, b: 2.200000e-01
N:    10 missed percentage: 9.300 func no: 3, a: 0, b: 2.300000e-01
N:   100 missed percentage: 4.700 func no: 3, a: 0, b: 2.300000e-01
N:  1000 missed percentage: 5.100 func no: 3, a: 0, b: 2.300000e-01
N: 10000 missed percentage: 4.550 func no: 3, a: 0, b: 2.300000e-01
N:    10 missed percentage: 9.300 func no: 3, a: 0, b: 2.400000e-01
N:   100 missed percentage: 4.900 func no: 3, a: 0, b: 2.400000e-01
N:  1000 missed percentage: 5.650 func no: 3, a: 0, b: 2.400000e-01
N: 10000 missed percentage: 5.000 func no: 3, a: 0, b: 2.400000e-01
N:    10 missed percentage: 9.350 func no: 3, a: 0, b: 2.500000e-01
N:   100 missed percentage: 5.650 func no: 3, a: 0, b: 2.500000e-01
N:  1000 missed percentage: 5.100 func no: 3, a: 0, b: 2.500000e-01
N: 10000 missed percentage: 5.150 func no: 3, a: 0, b: 2.500000e-01
N:    10 missed percentage: 9.600 func no: 3, a: 0, b: 2.600000e-01
N:   100 missed percentage: 5.550 func no: 3, a: 0, b: 2.600000e-01
N:  1000 missed percentage: 4.550 func no: 3, a: 0, b: 2.600000e-01
N: 10000 missed percentage: 5.500 func no: 3, a: 0, b: 2.600000e-01
N:    10 missed percentage: 10.300 func no: 3, a: 0, b: 2.700000e-01
N:   100 missed percentage: 5.850 func no: 3, a: 0, b: 2.700000e-01
N:  1000 missed percentage: 4.850 func no: 3, a: 0, b: 2.700000e-01
N: 10000 missed percentage: 5.450 func no: 3, a: 0, b: 2.700000e-01
N:    10 missed percentage: 9.150 func no: 3, a: 0, b: 2.800000e-01
N:   100 missed percentage: 6.350 func no: 3, a: 0, b: 2.800000e-01
N:  1000 missed percentage: 4.950 func no: 3, a: 0, b: 2.800000e-01
N: 10000 missed percentage: 4.300 func no: 3, a: 0, b: 2.800000e-01
N:    10 missed percentage: 10.050 func no: 3, a: 0, b: 2.900000e-01
N:   100 missed percentage: 5.750 func no: 3, a: 0, b: 2.900000e-01
N:  1000 missed percentage: 4.350 func no: 3, a: 0, b: 2.900000e-01
N: 10000 missed percentage: 5.400 func no: 3, a: 0, b: 2.900000e-01
N:    10 missed percentage: 9.250 func no: 3, a: 0, b: 3.000000e-01
N:   100 missed percentage: 5.950 func no: 3, a: 0, b: 3.000000e-01
N:  1000 missed percentage: 5.500 func no: 3, a: 0, b: 3.000000e-01
N: 10000 missed percentage: 5.500 func no: 3, a: 0, b: 3.000000e-01
N:    10 missed percentage: 9.400 func no: 3, a: 0, b: 3.100000e-01
N:   100 missed percentage: 5.300 func no: 3, a: 0, b: 3.100000e-01
N:  1000 missed percentage: 4.900 func no: 3, a: 0, b: 3.100000e-01
N: 10000 missed percentage: 5.000 func no: 3, a: 0, b: 3.100000e-01
N:    10 missed percentage: 9.750 func no: 3, a: 0, b: 3.200000e-01
N:   100 missed percentage: 6.150 func no: 3, a: 0, b: 3.200000e-01
N:  1000 missed percentage: 5.200 func no: 3, a: 0, b: 3.200000e-01
N: 10000 missed percentage: 5.000 func no: 3, a: 0, b: 3.200000e-01
N:    10 missed percentage: 9.300 func no: 3, a: 0, b: 3.300000e-01
N:   100 missed percentage: 6.050 func no: 3, a: 0, b: 3.300000e-01
N:  1000 missed percentage: 5.700 func no: 3, a: 0, b: 3.300000e-01
N: 10000 missed percentage: 5.050 func no: 3, a: 0, b: 3.300000e-01
N:    10 missed percentage: 9.350 func no: 3, a: 0, b: 3.400000e-01
N:   100 missed percentage: 5.350 func no: 3, a: 0, b: 3.400000e-01
N:  1000 missed percentage: 4.950 func no: 3, a: 0, b: 3.400000e-01
N: 10000 missed percentage: 5.350 func no: 3, a: 0, b: 3.400000e-01
N:    10 missed percentage: 8.700 func no: 3, a: 0, b: 3.500000e-01
N:   100 missed percentage: 5.750 func no: 3, a: 0, b: 3.500000e-01
N:  1000 missed percentage: 5.350 func no: 3, a: 0, b: 3.500000e-01
N: 10000 missed percentage: 4.850 func no: 3, a: 0, b: 3.500000e-01
N:    10 missed percentage: 9.700 func no: 3, a: 0, b: 3.600000e-01
N:   100 missed percentage: 6.050 func no: 3, a: 0, b: 3.600000e-01
N:  1000 missed percentage: 4.950 func no: 3, a: 0, b: 3.600000e-01
N: 10000 missed percentage: 5.200 func no: 3, a: 0, b: 3.600000e-01
N:    10 missed percentage: 8.800 func no: 3, a: 0, b: 3.700000e-01
N:   100 missed percentage: 5.300 func no: 3, a: 0, b: 3.700000e-01
N:  1000 missed percentage: 5.500 func no: 3, a: 0, b: 3.700000e-01
N: 10000 missed percentage: 4.700 func no: 3, a: 0, b: 3.700000e-01
N:    10 missed percentage: 10.000 func no: 3, a: 0, b: 3.800000e-01
N:   100 missed percentage: 6.100 func no: 3, a: 0, b: 3.800000e-01
N:  1000 missed percentage: 5.350 func no: 3, a: 0, b: 3.800000e-01
N: 10000 missed percentage: 4.500 func no: 3, a: 0, b: 3.800000e-01
N:    10 missed percentage: 8.850 func no: 3, a: 0, b: 3.900000e-01
N:   100 missed percentage: 4.900 func no: 3, a: 0, b: 3.900000e-01
N:  1000 missed percentage: 5.050 func no: 3, a: 0, b: 3.900000e-01
N: 10000 missed percentage: 5.300 func no: 3, a: 0, b: 3.900000e-01
N:    10 missed percentage: 9.550 func no: 3, a: 0, b: 4.000000e-01
N:   100 missed percentage: 5.350 func no: 3, a: 0, b: 4.000000e-01
N:  1000 missed percentage: 5.100 func no: 3, a: 0, b: 4.000000e-01
N: 10000 missed percentage: 5.000 func no: 3, a: 0, b: 4.000000e-01
N:    10 missed percentage: 9.400 func no: 3, a: 0, b: 4.100000e-01
N:   100 missed percentage: 5.300 func no: 3, a: 0, b: 4.100000e-01
N:  1000 missed percentage: 5.000 func no: 3, a: 0, b: 4.100000e-01
N: 10000 missed percentage: 5.250 func no: 3, a: 0, b: 4.100000e-01
N:    10 missed percentage: 9.050 func no: 3, a: 0, b: 4.200000e-01
N:   100 missed percentage: 5.000 func no: 3, a: 0, b: 4.200000e-01
N:  1000 missed percentage: 5.150 func no: 3, a: 0, b: 4.200000e-01
N: 10000 missed percentage: 4.650 func no: 3, a: 0, b: 4.200000e-01
N:    10 missed percentage: 10.750 func no: 3, a: 0, b: 4.300000e-01
N:   100 missed percentage: 5.800 func no: 3, a: 0, b: 4.300000e-01
N:  1000 missed percentage: 4.500 func no: 3, a: 0, b: 4.300000e-01
N: 10000 missed percentage: 5.300 func no: 3, a: 0, b: 4.300000e-01
N:    10 missed percentage: 9.600 func no: 3, a: 0, b: 4.400000e-01
N:   100 missed percentage: 5.100 func no: 3, a: 0, b: 4.400000e-01
N:  1000 missed percentage: 5.000 func no: 3, a: 0, b: 4.400000e-01
N: 10000 missed percentage: 4.650 func no: 3, a: 0, b: 4.400000e-01
N:    10 missed percentage: 9.600 func no: 3, a: 0, b: 4.500000e-01
N:   100 missed percentage: 4.750 func no: 3, a: 0, b: 4.500000e-01
N:  1000 missed percentage: 4.650 func no: 3, a: 0, b: 4.500000e-01
N: 10000 missed percentage: 4.250 func no: 3, a: 0, b: 4.500000e-01
