N:    10 missed percentage: 0.000 func no: 9, theta: 0
N:   100 missed percentage: 0.000 func no: 9, theta: 0
N:  1000 missed percentage: 0.000 func no: 9, theta: 0
N: 10000 missed percentage: 0.000 func no: 9, theta: 0
N: 20000 missed percentage: 0.000 func no: 9, theta: 0
N: 30000 missed percentage: 0.000 func no: 9, theta: 0
N:    10 missed percentage: 89.900 func no: 9, theta: 1.000000e-02
N:   100 missed percentage: 37.900 func no: 9, theta: 1.000000e-02
N:  1000 missed percentage: 2.350 func no: 9, theta: 1.000000e-02
N: 10000 missed percentage: 1.400 func no: 9, theta: 1.000000e-02
N: 20000 missed percentage: 1.000 func no: 9, theta: 1.000000e-02
N: 30000 missed percentage: 0.750 func no: 9, theta: 1.000000e-02
N:    10 missed percentage: 81.700 func no: 9, theta: 2.000000e-02
N:   100 missed percentage: 13.050 func no: 9, theta: 2.000000e-02
N:  1000 missed percentage: 2.100 func no: 9, theta: 2.000000e-02
N: 10000 missed percentage: 0.750 func no: 9, theta: 2.000000e-02
N: 20000 missed percentage: 1.150 func no: 9, theta: 2.000000e-02
N: 30000 missed percentage: 1.550 func no: 9, theta: 2.000000e-02
N:    10 missed percentage: 71.450 func no: 9, theta: 3.000000e-02
N:   100 missed percentage: 5.550 func no: 9, theta: 3.000000e-02
N:  1000 missed percentage: 1.300 func no: 9, theta: 3.000000e-02
N: 10000 missed percentage: 1.100 func no: 9, theta: 3.000000e-02
N: 20000 missed percentage: 0.800 func no: 9, theta: 3.000000e-02
N: 30000 missed percentage: 0.800 func no: 9, theta: 3.000000e-02
N:    10 missed percentage: 68.100 func no: 9, theta: 4.000000e-02
N:   100 missed percentage: 9.450 func no: 9, theta: 4.000000e-02
N:  1000 missed percentage: 0.950 func no: 9, theta: 4.000000e-02
N: 10000 missed percentage: 0.950 func no: 9, theta: 4.000000e-02
N: 20000 missed percentage: 0.750 func no: 9, theta: 4.000000e-02
N: 30000 missed percentage: 1.300 func no: 9, theta: 4.000000e-02
N:    10 missed percentage: 60.000 func no: 9, theta: 5.000000e-02
N:   100 missed percentage: 3.650 func no: 9, theta: 5.000000e-02
N:  1000 missed percentage: 0.950 func no: 9, theta: 5.000000e-02
N: 10000 missed percentage: 0.950 func no: 9, theta: 5.000000e-02
N: 20000 missed percentage: 1.300 func no: 9, theta: 5.000000e-02
N: 30000 missed percentage: 0.950 func no: 9, theta: 5.000000e-02
N:    10 missed percentage: 52.600 func no: 9, theta: 6.000000e-02
N:   100 missed percentage: 6.250 func no: 9, theta: 6.000000e-02
N:  1000 missed percentage: 1.650 func no: 9, theta: 6.000000e-02
N: 10000 missed percentage: 1.000 func no: 9, theta: 6.000000e-02
N: 20000 missed percentage: 1.000 func no: 9, theta: 6.000000e-02
N: 30000 missed percentage: 0.600 func no: 9, theta: 6.000000e-02
N:    10 missed percentage: 47.650 func no: 9, theta: 7.000000e-02
N:   100 missed percentage: 2.550 func no: 9, theta: 7.000000e-02
N:  1000 missed percentage: 1.100 func no: 9, theta: 7.000000e-02
N: 10000 missed percentage: 1.050 func no: 9, theta: 7.000000e-02
N: 20000 missed percentage: 1.250 func no: 9, theta: 7.000000e-02
N: 30000 missed percentage: 0.850 func no: 9, theta: 7.000000e-02
N:    10 missed percentage: 45.000 func no: 9, theta: 8.000000e-02
N:   100 missed percentage: 3.700 func no: 9, theta: 8.000000e-02
N:  1000 missed percentage: 1.450 func no: 9, theta: 8.000000e-02
N: 10000 missed percentage: 0.950 func no: 9, theta: 8.000000e-02
N: 20000 missed percentage: 1.050 func no: 9, theta: 8.000000e-02
N: 30000 missed percentage: 1.350 func no: 9, theta: 8.000000e-02
N:    10 missed percentage: 39.500 func no: 9, theta: 9.000000e-02
N:   100 missed percentage: 1.400 func no: 9, theta: 9.000000e-02
N:  1000 missed percentage: 1.250 func no: 9, theta: 9.000000e-02
N: 10000 missed percentage: 1.450 func no: 9, theta: 9.000000e-02
N: 20000 missed percentage: 1.400 func no: 9, theta: 9.000000e-02
N: 30000 missed percentage: 1.050 func no: 9, theta: 9.000000e-02
N:    10 missed percentage: 35.250 func no: 9, theta: 1.000000e-01
N:   100 missed percentage: 2.650 func no: 9, theta: 1.000000e-01
N:  1000 missed percentage: 1.300 func no: 9, theta: 1.000000e-01
N: 10000 missed percentage: 1.250 func no: 9, theta: 1.000000e-01
N: 20000 missed percentage: 0.850 func no: 9, theta: 1.000000e-01
N: 30000 missed percentage: 1.200 func no: 9, theta: 1.000000e-01
N:    10 missed percentage: 31.500 func no: 9, theta: 1.100000e-01
N:   100 missed percentage: 2.850 func no: 9, theta: 1.100000e-01
N:  1000 missed percentage: 1.200 func no: 9, theta: 1.100000e-01
N: 10000 missed percentage: 1.150 func no: 9, theta: 1.100000e-01
N: 20000 missed percentage: 0.800 func no: 9, theta: 1.100000e-01
N: 30000 missed percentage: 0.650 func no: 9, theta: 1.100000e-01
N:    10 missed percentage: 27.550 func no: 9, theta: 1.200000e-01
N:   100 missed percentage: 1.650 func no: 9, theta: 1.200000e-01
N:  1000 missed percentage: 1.800 func no: 9, theta: 1.200000e-01
N: 10000 missed percentage: 1.050 func no: 9, theta: 1.200000e-01
N: 20000 missed percentage: 0.950 func no: 9, theta: 1.200000e-01
N: 30000 missed percentage: 0.950 func no: 9, theta: 1.200000e-01
N:    10 missed percentage: 23.800 func no: 9, theta: 1.300000e-01
N:   100 missed percentage: 1.900 func no: 9, theta: 1.300000e-01
N:  1000 missed percentage: 1.350 func no: 9, theta: 1.300000e-01
N: 10000 missed percentage: 0.950 func no: 9, theta: 1.300000e-01
N: 20000 missed percentage: 1.250 func no: 9, theta: 1.300000e-01
N: 30000 missed percentage: 0.900 func no: 9, theta: 1.300000e-01
N:    10 missed percentage: 21.650 func no: 9, theta: 1.400000e-01
N:   100 missed percentage: 2.050 func no: 9, theta: 1.400000e-01
N:  1000 missed percentage: 1.300 func no: 9, theta: 1.400000e-01
N: 10000 missed percentage: 0.500 func no: 9, theta: 1.400000e-01
N: 20000 missed percentage: 0.900 func no: 9, theta: 1.400000e-01
N: 30000 missed percentage: 0.900 func no: 9, theta: 1.400000e-01
N:    10 missed percentage: 20.100 func no: 9, theta: 1.500000e-01
N:   100 missed percentage: 2.900 func no: 9, theta: 1.500000e-01
N:  1000 missed percentage: 1.150 func no: 9, theta: 1.500000e-01
N: 10000 missed percentage: 1.000 func no: 9, theta: 1.500000e-01
N: 20000 missed percentage: 0.700 func no: 9, theta: 1.500000e-01
N: 30000 missed percentage: 1.100 func no: 9, theta: 1.500000e-01
N:    10 missed percentage: 18.050 func no: 9, theta: 1.600000e-01
N:   100 missed percentage: 1.450 func no: 9, theta: 1.600000e-01
N:  1000 missed percentage: 1.150 func no: 9, theta: 1.600000e-01
N: 10000 missed percentage: 1.300 func no: 9, theta: 1.600000e-01
N: 20000 missed percentage: 0.900 func no: 9, theta: 1.600000e-01
N: 30000 missed percentage: 0.750 func no: 9, theta: 1.600000e-01
N:    10 missed percentage: 15.450 func no: 9, theta: 1.700000e-01
N:   100 missed percentage: 2.000 func no: 9, theta: 1.700000e-01
N:  1000 missed percentage: 0.900 func no: 9, theta: 1.700000e-01
N: 10000 missed percentage: 1.400 func no: 9, theta: 1.700000e-01
N: 20000 missed percentage: 1.200 func no: 9, theta: 1.700000e-01
N: 30000 missed percentage: 1.100 func no: 9, theta: 1.700000e-01
N:    10 missed percentage: 13.800 func no: 9, theta: 1.800000e-01
N:   100 missed percentage: 2.500 func no: 9, theta: 1.800000e-01
N:  1000 missed percentage: 1.050 func no: 9, theta: 1.800000e-01
N: 10000 missed percentage: 0.750 func no: 9, theta: 1.800000e-01
N: 20000 missed percentage: 0.950 func no: 9, theta: 1.800000e-01
N: 30000 missed percentage: 0.900 func no: 9, theta: 1.800000e-01
N:    10 missed percentage: 12.500 func no: 9, theta: 1.900000e-01
N:   100 missed percentage: 1.250 func no: 9, theta: 1.900000e-01
N:  1000 missed percentage: 1.550 func no: 9, theta: 1.900000e-01
N: 10000 missed percentage: 0.900 func no: 9, theta: 1.900000e-01
N: 20000 missed percentage: 0.800 func no: 9, theta: 1.900000e-01
N: 30000 missed percentage: 1.000 func no: 9, theta: 1.900000e-01
N:    10 missed percentage: 11.350 func no: 9, theta: 2.000000e-01
N:   100 missed percentage: 1.550 func no: 9, theta: 2.000000e-01
N:  1000 missed percentage: 0.800 func no: 9, theta: 2.000000e-01
